Number of Sheath Cells,Number of Interior Cells,Interior Volume constraint (per interior cell),Sheath Volume constraint (per sheath cell),Sheath to Medium Tension,Sheath to Interior Tension,Sheath to Sheath Tension,Interior to Interior Tension,Alpha (stm / sts),Beta (sti/sts),Gamma ((stm+sti)/iti),Delta (sts/iti),Epsilon = (stm/ii),Zeta = (sti/ii),Lambda (stm/sti),[Corner] Body 1,[Corner] Body 5,Body 2,Body 3,Body 4,Body 6,Body 7,Body 8,Body 9,Average Non-Corner Sheath Values (Pressure),Average Corner Sheath Values (Pressure),ratio non-corner and corner sheath pressures,Standard Deviation of Sheath Cell Values,Coefficient of Variation of non-corner sheath cell pressures,Body 10 [Interior],Body 11 [Interior],Average Interior Values (Pressure),ratio interior cell pressure,Inner aspect ratio,Outer Aspect Ratio,Total Flag
9,2,1.57,0.0723,0.05,2.97,3.66,2.03,0.01,0.81,1.49,1.801,0.025,1.462,0.017,3.126,2.886,3.237,4.034,3.247,2.935,2.427,-0.198,0.578,2.32,3.01,0.77,1.38,0.46,1.082,0.323,0.703,0.299,1.109,1.03,bad
9,2,1.57,0.0723,0.52,2.22,4.42,1.29,0.12,0.5,2.12,3.417,0.404,1.718,0.235,1.543,2.505,-0.987,-1.841,-1.232,3.838,4.138,4.331,2.314,1.51,2.02,0.75,2.42,1.19,-1.898,-1.142,-1.52,0.602,1.001,1.024,bad
9,2,1.57,0.0723,0.21,2.32,0.68,1.41,0.36,3.4,1.79,0.483,0.148,1.644,0.09,0.358203952,-0.180255044,0.41263352,-0.150703622,0.404084312,0.253183014,0.813494872,0.324373813,0.345972321,0.34,0.09,3.86,0.3,3.39,1.947234513,1.904648049,1.926,0.978,1.06522094,1.054100548,bad
9,2,1.57,0.0723,0.23367806,2.974901627,4.754602676,3.305959528,0.05,0.63,0.97,1.438,0.071,0.9,0.079,3.382569771,2.49539866,3.645210597,5.234384103,3.486521606,-0.455006743,-2.015549099,1.276140569,3.547679177,2.1,2.94,0.72,2.29,0.78,0.23660545,-1.104917612,-0.434,-4.67,1.01499072,1.037155489,bad
9,2,1.57,0.0723,0.79,3.14,4.58,3.35,0.17,0.68,1.17,1.369,0.235,0.937,0.251,3.188,3.635,2.91,3.73,5.182,0.074,-1.192,-1.024,0.288,1.53,3.05,0.5,2.65,1.73,1.096,0.195,-1.409,0.178,1.017,1.038,bad
9,2,1.57,0.0723,0.36,4.58,0.06,3.81,5.88,74.14,1.3,0.016,0.095,1.204,0.079,-0.713,0.878,-0.584,0.877,0.59,0.429,0.646,0.628,0.63,0.67,-0.65,-1.03,0.14,0.21,1.22,5.804,5.705,4.755,1.123,1.098,bad
9,2,1.57,0.0723,0.01,1.2,2.97,0.15,0,0.4,8.07,19.797,0.067,8.008,0.008,2.278,2.203,2.011,2.027,3.561,1.755,-0.076,0.787,1.598,1.69,2.14,0.79,1.23,0.72,1.133,0.332,0.186,0.293,0.993,1.016,bad
9,2,1.57,0.0723,0.39,3.9,2.42,0.19,0.16,1.61,23.18,13.066,2.11,21.067,0.1,2.844,2.618,2.743,1.453,1.469,2.367,0.565,-0.208,1.588,1.41,2.79,0.5,0.9,0.64,1.037,2.133,1.904,2.057,1.005,1.009,bad
9,2,1.57,0.0723,0.35,1.59,1.8,0.32,0.19,0.88,5.99,5.574,1.083,4.907,0.221,-0.665,0.47,0.67,1.864,0.574,1.732,0.563,0.576,0.709,0.96,-0.1,-9.79,0.74,-7.59,-0.059,-0.086,-0.073,1.459,1.079,1.017,bad
9,2,1.57,0.0723,0.63,4.64,1.01,2.74,0.62,4.58,1.92,0.37,0.23,1.692,0.136,-0.343,0.669,1.824,1.547,1.791,0.603,0.042,0.029,0.065,0.84,0.16,5.17,0.83,5.11,4.738,4.301,4.52,0.908,1.095,1.062,bad
9,2,1.57,0.0723,0.11,2.42,1.34,3.9,0.08,1.81,0.65,0.343,0.027,0.62,0.043,-0.198,-0.872,1.705,1.712,1.847,0.547,0.653,0.681,1.259,1.2,-0.53,-2.25,0.93,-1.73,2.603,1.945,2.274,0.747,1.121,1.074,bad
9,2,1.57,0.0723,0.07,3.95,2.35,2.46,0.03,1.68,1.64,0.958,0.03,1.61,0.018,-0.883016984,1.420547956,1.224469906,2.579699089,2.194494152,2.376821386,0.761161858,0.758434494,1.45788923,1.62,0.27,6.03,1.06,3.94,2.583727174,2.20570465,2.395,0.854,1.037297729,1.040196191,bad
9,2,1.57,0.0723,0.14,1.51,0.95,0.9,0.15,1.58,1.84,1.064,0.155,1.684,0.092,-0.132380848,-0.090865015,0.363786558,1.054938759,0.357296889,0.892704062,0.338463209,0.338984341,0.943267767,0.61,-0.11,-5.49,0.43,-3.85,0.809869789,0.743004096,0.776,0.917,1.03342489,1.037514944,bad
9,2,1.57,0.0723,0.07,2.71,0.17,3.81,0.42,15.6,0.73,0.046,0.019,0.711,0.027,-0.984089941,-0.832732132,0.735143134,0.523621021,0.753114241,0.27123678,0.555372736,0.532092103,0.41305668,0.54,-0.91,-0.6,0.66,-0.72,3.735154021,3.472747936,3.604,0.93,1.136993451,1.112059091,bad
9,2,1.57,0.0723,1.66,3.81,1.29,1.08,1.29,2.94,5.09,1.203,1.548,3.541,0.437,2.095,1.605,3.162,3.011,3.149,2.111,3.004,3.003,2.79,2.89,1.85,1.56,0.57,0.31,4.897,4.81,4.853,0.982,1.027,1.026,good
9,2,1.57,0.0723,3.95,1.34,0.54,0.45,7.36,2.49,11.82,1.2,8.829,2.992,2.951,3.962,4.077,4.399,4.326,4.405,4.368,4.342,4.334,4.393,4.37,4.02,1.09,0.16,0.04,4.932,4.909,4.921,0.995,1.025,1.021,good
9,2,1.57,0.0723,1.39,3.01,0.08,0.27,16.65,36.2,16.23,0.307,5.113,11.115,0.46,1.156,1.253,1.43,1.353,1.395,1.43,1.33,1.342,1.503,1.4,1.2,1.16,0.1,0.09,4.252,4.252,4.252,1,1.007,1.009,good
9,2,1.57,0.0723,0.02,2.19,2.97,2.29,0.01,0.74,0.97,1.301,0.009,0.958,0.009,1.156,1.253,1.43,1.353,1.395,1.43,1.33,1.342,1.503,1.4,1.2,1.16,0.1,0.09,4.252,4.252,4.252,1,1.007,1.009,good
